Name,Email,Age,Country,Annual Income ($),Estimated Monthly Spending ($)
Courtney Brown,ronaldgarcia@example.com,76,Netherlands,101972.44,8497.7
Gabrielle Frost,morganwilson@example.net,21,Taiwan,53150.75,4429.23
Joshua Roberson,jonathan05@example.org,27,Taiwan,70182.03,5848.5
Jonathan Phillips,kelly34@example.net,75,Barbados,110974.67,9247.89
Mary Davis,garrisonedward@example.net,57,Montenegro,69977.72,5831.48
Sonya Mendez,christopher72@example.org,48,Albania,85546.46,7128.87
Colleen Mcbride,andrea60@example.net,79,Cambodia,27411.62,2284.3
Kristopher Cooper,jameswilson@example.com,47,Mauritania,91324.36,7610.36
Christina Lee,adrienne93@example.net,50,Montserrat,76241.09,6353.42
Laura Rodriguez,egarcia@example.org,25,Germany,119404.0,9950.33
Christopher Grant,mariahwalker@example.com,61,Bolivia,118580.24,9873.35
Amanda Barber,susan49@example.com,76,Bahamas,81342.23,6778.52
Alex Rush,dmaldonado@example.net,79,San Marino,79772.53,6647.71
Susan Williams,hallkayla@example.com,29,Myanmar,50160.6,4173.38
Ashley Richards,justin50@example.org,73,Yemen,106896.28,8.0
Sandra Dixon,malloryhall@example.net,33,Madagascar,51872.83,4314.4
Ronald Pollard,usummers@example.com,72,Bolivia,45716.1,3809.68
Corey Church,newtonbobby@example.com,20,Bulgaria,68486.48,5707.21
Richard Castaneda,vrodgers@example.com,80,Uzbekistan,46937.34,3911.45
Susan Maldonado,mitchellblake@example.org,51,Peru,62543.2,5211.93
Danielle Hayden,melissa36@example.com,48,South Africa,80488.08,6707.34
Christine Kim,cynthiaperry@example.org,73,Niger,63889.83,5.0
Bruce Walker,qmiller@example.com,80,Anguilla,82391.61,6865.968333333334
David Wells,hamiltonsara@example.com,67,Rwanda,29961.09,2496.76
Walter Simpson,renee07@example.org,21,Senegal,36958.11,3079.84
Steven Hudson,normawillis@example.org,58,Maldives,51930.44,4327.54
Brandon Gill,hrobbins@example.net,43,Latvia,100869.21,8397.44
Ann Ruiz,krobertson@example.com,19,Swaziland,48233.68,4019.47
Allison Holt,xcummings@example.net,39,Armenia,30931.51,2577.63
Terry Freeman,alexandertran@example.com,26,Papua New Guinea,74861.11,6246.76
David Hughes,swilliams@example.net,64,Cook Islands,56327.54,4693.95
Wendy Berry,fryan@example.net,63,United States Virgin Islands,56920.24,4743.35
Jessica Lee,lsmith@example.net,55,Solomon Islands,117825.8,9818.82
Maria Jones,myersrobin@example.org,68,Montserrat,64153.96,5346.16
Amber Robinson,gshah@example.com,42,Costa Rica,43166.42,3597.2
Carl Silva Jr.,alexis06@example.net,20,Iceland,64145.49,5345.41
Alexandra Lopez,cabreratravis@example.net,69,Lao People's Democratic Republic,100228.9,8352.41
Jennifer Hampton,lwright@example.com,30,Philippines,32752.94,2729.41
Phillip Liu,emily68@example.org,69,San Marino,89914.32,7492.86
Charles Chang,antonioskinner@example.org,37,Malaysia,45696.85,3808.07
Jeremy Martinez,marklee@example.com,62,Korea,49554.9,413.79
Shane Zimmerman,sheltonjames@example.org,55,Slovakia (Slovak Republic),69114.34,5742.86
Paul Ross,brownrandall@example.org,29,Aruba,31642.79,2636.9
Michelle Shaw,dustinadams@example.com,55,Burundi,93444.73,7787.06
Jordan Mullins,kjohnson@example.org,59,Turkey,78316.0,6526.33
Raven Mcgee,markrobinson@example.com,68,Falkland Islands (Malvinas),80120.41,6676.7
Stephen Flores,danielle39@example.com,57,Kuwait,91673.15,7639.43
Jason Smith,christopherholmes@example.org,74,Comoros,102425.71,8535.476
James Jones,alexander64@example.com,37,Djibouti,88018.82,7334.9
Deborah Palmer,ncollier@example.net,30,Suriname,118784.42,9898.7
